id,sim
0000,0220-0140-0357-1258-0003-0340-0617-1285-0778-0362
0001,0897-0244-0465-0501-1097-1545-0577-1451-1435-0588
0002,1227-0092-0679-1235-0756-0374-0179-0931-0517-0520
0003,0000-0354-0220-0387-0873-0179-0628-0785-0362-0671
0004,1524-0874-0320-0617-0044-0715-1341-1188-1467-0289
0005,0263-1024-1132-1243-1065-1204-1383-1002-0165-0560
0006,1154-0036-0971-1177-1354-1556-0939-1237-1106-1179
0007,0139-1108-0779-0528-0121-1055-1021-0827-0992-0988
0008,0817-1019-1264-0080-0587-0524-0827-0073-0579-0215
0009,1096-1101-0776-0789-0825-0354-0129-0711-1260-0572
0010,0010-0153-0156-0286-0427-0457-0561-0746-0795-0836
0011,0394-0369-1165-0267-0841-1173-0480-0389-1029-0759
0012,0439-0483-1285-0856-0456-1138-0110-0340-0341-1544
0013,0735-0728-0475-0499-0015-1323-0067-0138-1149-0643
0014,0089-0210-0445-1178-0771-0076-0981-0686-1564-1002
0015,0777-0615-0091-0013-0475-0686-1348-0172-0213-0790
0016,0643-1492-0987-0067-0211-0390-0883-0774-0182-0699
0017,0340-1145-0218-0578-0697-0070-0853-0241-1090-0617
0018,0576-0919-0736-0915-0693-0911-0147-0419-0917-0418
0019,0239-0989-0714-0729-0821-1437-0625-0551-0564-0553
0020,1132-0951-1129-0389-1327-1363-1523-1048-0560-1018
0021,1171-1170-1103-0575-0570-0579-1109-0817-0080-0524
0022,1219-0912-0406-0917-0916-0911-1015-0404-0914-0915
0023,1065-1418-1286-0778-0695-0766-1054-1067-0552-0762
0024,0383-1222-0646-0161-0482-1307-0345-1139-0493-0174
0025,0065-0659-0736-1153-1125-1141-0652-1137-0170-1202
0026,0055-0849-0984-0310-0327-0281-0531-0696-0581-0411
0027,1022-0091-0210-0904-0819-0173-0865-0397-1529-1368
0028,0715-1288-1400-0374-1031-0671-1495-1280-0944-0167
0029,0140-0126-1258-0876-0456-0837-0340-0155-1285-1110
0030,1498-1479-1249-1263-0391-1245-1474-1516-1385-1492
0031,0032-1288-1280-1281-0466-0257-0127-0355-1102-0436
0032,0857-0888-0387-0360-0474-1260-0104-0868-0040-0355
0033,0520-0036-0483-0655-0060-0514-0042-0517-0343-0453
0034,0219-0694-0083-0617-0340-0082-0275-0257-1258-1285
0035,0032-0909-0891-0789-1167-1154-0747-1077-1007-0888
0036,0033-0876-0343-0218-0895-0126-0340-0219-0466-0765
0037,0657-1027-0680-1215-0188-0849-0495-1125-1141-0911
0038,1260-0023-0522-0045-1036-0123-0778-0766-0083-0065
0039,0803-1463-0790-1476-0029-0137-0332-0091-0299-1283
